nbytes block_frag cum_frag cum_frag2
16 0 0 0
24 0 0 0
32 0 0 0
40 0.166666666666667 0.0416666666666667 0.0666666666666667
48 0 0.0333333333333333 0.0476190476190476
56 0.125 0.0486111111111111 0.0689655172413793
64 0 0.0416666666666667 0.0540540540540541
72 0.25 0.0677083333333333 0.102040816326531
80 0.166666666666667 0.0787037037037037 0.114754098360656
88 0.0833333333333333 0.0791666666666667 0.10958904109589
96 0 0.071969696969697 0.0941176470588235
104 0.1875 0.0815972222222222 0.108910891089109
112 0.125 0.0849358974358974 0.111111111111111
120 0.0625 0.0833333333333333 0.105263157894737
128 0 0.0777777777777778 0.0939597315436242
136 0.291666666666667 0.0911458333333333 0.121387283236994
144 0.25 0.100490196078431 0.137055837563452
152 0.208333333333333 0.106481481481481 0.144796380090498
160 0.166666666666667 0.109649122807018 0.146938775510204
168 0.125 0.110416666666667 0.144981412639405
176 0.0833333333333333 0.109126984126984 0.139931740614334
184 0.0416666666666667 0.106060606060606 0.132492113564669
192 0 0.101449275362319 0.12316715542522
200 0.21875 0.106336805555556 0.131367292225201
208 0.1875 0.109583333333333 0.135802469135802
216 0.15625 0.111378205128205 0.137299771167048
224 0.125 0.111882716049383 0.136460554371002
232 0.09375 0.111235119047619 0.13373253493014
240 0.0625 0.109554597701149 0.129455909943715
248 0.03125 0.106944444444444 0.123893805309735
256 0 0.103494623655914 0.117252931323283
264 0.3125 0.110026041666667 0.131782945736434
272 0.291666666666667 0.115530303030303 0.142857142857143
280 0.270833333333333 0.120098039215686 0.15114709851552
288 0.25 0.123809523809524 0.157160963244613
296 0.229166666666667 0.126736111111111 0.161290322580645
304 0.208333333333333 0.128941441441441 0.163841807909605
312 0.1875 0.130482456140351 0.165058949624866
320 0.166666666666667 0.131410256410256 0.165137614678899
328 0.145833333333333 0.131770833333333 0.164237123420797
336 0.125 0.131605691056911 0.162488393686165
344 0.104166666666667 0.130952380952381 0.16
352 0.0833333333333333 0.12984496124031 0.156862745098039
360 0.0625 0.128314393939394 0.153153153153153
368 0.0416666666666667 0.126388888888889 0.148936170212766
376 0.0208333333333333 0.124094202898551 0.144267274107821
384 0 0.12145390070922 0.139194139194139
392 0.234375 0.123806423611111 0.143456962911127
400 0.21875 0.125744047619048 0.146684527796383
408 0.203125 0.127291666666667 0.149004495825305
416 0.1875 0.128472222222222 0.150524367674275
424 0.171875 0.129306891025641 0.1513353115727
432 0.15625 0.129815251572327 0.151515151515152
440 0.140625 0.130015432098765 0.151130722559294
448 0.125 0.129924242424242 0.150239744272776
456 0.109375 0.129557291666667 0.148892323544565
464 0.09375 0.128929093567251 0.14713216957606
472 0.078125 0.12805316091954 0.14499758337361
480 0.0625 0.12694209039548 0.142522269104548
488 0.046875 0.125607638888889 0.139736003641329
496 0.03125 0.124060792349727 0.136665192392747
504 0.015625 0.122311827956989 0.133333333333333
512 0 0.12037037037037 0.129761406446212
520 0.322916666666667 0.12353515625 0.137223340040241
528 0.3125 0.126442307692308 0.143742735373886
536 0.302083333333333 0.129103535353535 0.149420993649608
544 0.291666666666667 0.131529850746269 0.154345474215651
552 0.28125 0.133731617647059 0.158591843848031
560 0.270833333333333 0.135718599033816 0.162225969645868
568 0.260416666666667 0.1375 0.16530545573342
576 0.25 0.139084507042254 0.167880899588217
584 0.239583333333333 0.140480324074074 0.16999692591454
592 0.229166666666667 0.141695205479452 0.171693042699313
600 0.21875 0.142736486486486 0.17300435413643
608 0.208333333333333 0.143611111111111 0.173962157582604
616 0.197916666666667 0.144325657894737 0.174594445971955
624 0.1875 0.144886363636364 0.174926332708278
632 0.177083333333333 0.145299145299145 0.174980412640376
640 0.166666666666667 0.145569620253165 0.174777070063694
648 0.15625 0.145703125 0.174334742601343
656 0.145833333333333 0.145704732510288 0.17367014816614
664 0.135416666666667 0.145579268292683 0.172798480892476
672 0.125 0.145331325301205 0.171733580877234
680 0.114583333333333 0.144965277777778 0.170488081725312
688 0.104166666666667 0.144485294117647 0.169073539213508
696 0.09375 0.143895348837209 0.167500543832935
704 0.0833333333333333 0.143199233716475 0.165778819518432
712 0.0729166666666667 0.142400568181818 0.163917310503237
720 0.0625 0.141502808988764 0.161924257932446
728 0.0520833333333333 0.140509259259259 0.159807267616944
736 0.0416666666666667 0.139423076923077 0.157573370100453
744 0.03125 0.138247282608696 0.155229074038276
752 0.0208333333333333 0.13698476702509 0.152780413740748
760 0.0104166666666667 0.13563829787234 0.150232991612302
768 0 0.134210526315789 0.147592016114265
776 0.2421875 0.135335286458333 0.14975845410628
784 0.234375 0.13635631443299 0.1516529648417
792 0.2265625 0.137276785714286 0.153293413173653
800 0.21875 0.138099747474747 0.154696132596685
808 0.2109375 0.138828125 0.155876085887559
816 0.203125 0.139464727722772 0.156847005939958
824 0.1953125 0.140012254901961 0.15762151958471
832 0.1875 0.140473300970874 0.158211256746338
840 0.1796875 0.140850360576923 0.158626946922728
848 0.171875 0.141145833333333 0.158878504672897
856 0.1640625 0.141362028301887 0.158975105546659
864 0.15625 0.141501168224299 0.158925253680149
872 0.1484375 0.141565393518519 0.158736842105263
880 0.140625 0.141556766055046 0.158417206673101
888 0.1328125 0.141477272727273 0.157973174366617
896 0.125 0.141328828828829 0.157411106671994
904 0.1171875 0.14111328125 0.156736938588451
912 0.109375 0.140832411504425 0.155956213779781
920 0.1015625 0.140487938596491 0.155074116305587
928 0.09375 0.14008152173913 0.1540954993143
936 0.0859375 0.139614762931034 0.153024911032028
944 0.078125 0.139089209401709 0.151866618339978
952 0.0703125 0.138506355932203 0.150624628197501
960 0.0625 0.137867647058824 0.149302707136998
968 0.0546875 0.137174479166667 0.147904399030135
976 0.046875 0.136428202479339 0.146433041301627
984 0.0390625 0.13563012295082 0.144891779746552
992 0.03125 0.134781504065041 0.143283582089552
1000 0.0234375 0.133883568548387 0.141611250408808
1008 0.015625 0.1329375 0.139877432534136
1016 0.0078125 0.131944444444444 0.138084632516704
1024 0 0.130905511811024 0.136235220257403
